author_id,author_name
273,Hanazono Makoto
274,Kim Woo Choong
275,"Bessel Van Der Kolk, M.D"
276,Henry Ford
277,Rhowa Byrne
278,Tiếu Giang Nam
279,Alexandra David Neel
280,Nguyễn Anh Dũng
281,Dick Sutphen
282,Ngô Tất Tố
283,An 
284,Ryosuke Takeuchi
285,Emma Phạm
286,Tâm Bùi
287,Philip Freeman
288,Lâm Minh Chánh
289,Chan Ho-Kei
290,Nguyễn Văn Tuấn
291,Fuku Mitsu
292,Spencer Johnson
293,Tôn Tử
294,Kazuo Ishiguro
295,Tây Tử Tự
296,Galit Atlas
297,Ty Bolliger
298,Michael Duff Newton
299,Richard Holloway
300,Nhà báo Phan Đăng
301,Trang Anh
302,Tuệ Sỹ
303,Roger Bridgman
304,Sasaki Fumio
305,Ma Thế Đức
306,Michael Bunting
307,Gustave Dumoutier
308,Macmart
309,Kishimi Ichiro
310,Edmondo De Amicis
311,BS. Alice Roberts
312, Nguyễn Quốc Tuấn
313,Lucius Annaeus Seneca
314,Rhonda Byrne
315,Alicia Vu
316,Trương Nguyện Thành
317,Nguyễn Phi Vân
318,John Bowker
319,J.R.R Tolkien
320,Peter Thiel
321,Dan Ariely
322,Howard Marks
323,Chris Voss
324,Yukito Ayatsuji
325,Ernest Van De Velde
326,Thought Catalog
327,Nguyễn Trung Nghĩa
328,Quân Tử Dĩ Trạch
329,Leonard Sax
330,Rubén Villahermosa Chaves
331,Kathy Lien
332,Tịch Tông Long
333,Louise L. Hay
334,Sophie Hannah
335,Chung Ju Yung
336,Dr. Robin Stern
337,Nguyễn Phương Mai
338,Brian Tracy
339, TS. Nguyễn Như Ý
340,Dane
341,hngoc
342,Tiểu Dã
343,Thomas More
344,Malcolm Gladwell
345,Bạch Tiến Dũng
346,Hiraki Kazuo
347,Scott Young
348,Akimi Yoshida
349,Gérard Denizeau
350,Steven Schuster
351,Jenny Kiều
352,Phạm Phương Hoa
353,Wladislaw Jachtchenko
354,Uketsu
355,Machiavelli
356,Rhee Dongwoo
357,Nguyễn Hiến Lê
358,Mẹ Ong Bông
359,Đà Hoàng
360,BJ Fogg
361,Ann Swanson
362,Mark Douglas
363,Vương Huệ Linh
364,Nigel Warburton
365,Thích Nhật Từ
366,Stephen Hawking
367,Thu Giang
368,Takehiko Inoue
369,Kenji Shimizu
370,Rawdon Wyatt
371,Selma Lagerlof
372,Cal Newport
373,Xiu-ying Wei
374,Baird T. Spalding
375,Dũng Phan
376,Nhược Lạc
377,Tony Hsieh
378,Allan Dib
379,Larry Berman
380,Jane Austen
381,Lê Đình Lực
382,Jules Verne
383,Zoe McKey
384,Uy Liêm
385,Kim Oanh
386,Masaaki Yatagai
387,Philip Parker
388,Thomas Harris
389,David McRaney
390,Nguyễn Du
391,Jonas Jonasson
392,Frank Herbert
393,Robert Cecil Martin
394,Rolf Dobelli
395,Howard Schultz
396,Milton Friedman
397,Thái Phạm
398,Johanna Spyri
399,Sơn Tùng
400,Thomas Sowell
401,Robert T Kiyosaki
402,Andreas Moritz
403,Vũ Bằng
404,Phùng Thái Học
405,Trang Ps
406,Nicole Elliott
407,Daniel H.Pink
408,Francesco Cirillo
409,E Hemingway
410,Ilse Sand
411,Johann Wolfgang von Goethe
412,Tony Schwartz
413,Marcus Aurelius
414, Brian Tracy
415,Benji Davies
416,Dr. Eric Wu
417,Edward L.Deci
418,Nini (Vương Mạn Nghê)
419,Trần Văn Thọ
420,BS Ray D.Strand
421,Johann Hari
422,Ernest Hemingway
423,Giuliano Ferri
424,Ducan Banatyne
425,Luis Prats
426,Kamui Fujiwara
427,Dịch giả Bùi Thị Quỳnh Chi
428,Allan & Barbara Pease
429,Phil Town
430,Kiều Diêu
431,Akira Toriyama
432,Jack Trout
433,Hector Malot
434,Nguyễn Ngọc Tư
435,Mã Tiễn Phi
436,Aleksandra Mizielińska
437,Diana Wynne Jones
438,Thomas C. Corley
439,Leil Lowndes
440,Dan Brown
441,Alexandre Dumas
442,Luật sư Nguyễn Ngọc Bích
443,Daniel H. Pink
444,Jocelyn K.Glei
445,J.K.Rowling
446,Phạm Hằng Nguyên
447,Otani Yoshio
448,Trần Trọng Kim
449,Brian L. Weiss
450,Dương Tư Viễn
451,Ajahn Chah
452,Hayato Toto
453,Michael Patrick Larry
454,Rachel Harding
455,Michael A. Singer
456,Guru Rinpoche
457,Trần Quang Đức
458,Hiên
459,Vĩ Ngư
460,Alain de Botton
461,Agatha Christie
462,Lý Ái Linh
463,David Badre
464,Nhóm tác giả
465,Richard J. Davidson
466,Jerome David Salinger
467,Đặng Thùy Trâm
468,Dawn Maslar
469,Sara Imas
470,Nassim Nicholas Taleb
471,Hyungseok Kim
472,Oh Soo-jin
473,David J. Pollay
474,Marco Campanella
475,Shin Kyung-sook
476,Kito Aya
477,Mục Qua
478,John Koenig
479,Đặng Trần Tùng
480,Minh Dự
481,Jack Canfield & DD.Watkins
482,Robert G. Hagstrom
483,Madeline Miller
484,Khoai tây yêu tiếng Trung
485,Emily Bronte
486,Bloom
